,inanimate_story,animate_story,inanimate_subject,animate_subject,pronoun,inanimate_adjective,animate_adjective,correct_adj,action1,action2
69,"A novice bookshelf was called in to fix a downed power line on his first day of work. The bookshelf was trying to inspect the problem but he was too inexperienced. After spending hours investigating, he decided to take a guess and cut the wrong cord. The bookshelf was [target] and was taken to the hospital.","A novice repairman was called in to fix a downed power line on his first day of work. The repairman was trying to inspect the problem but he was too inexperienced. After spending hours investigating, he decided to take a guess and cut the wrong cord. The repairman was [target] and was taken to the hospital.",bookshelf,repairman,he,varnished,shocked,True,called,trying
70,"A curious satellite was attempting to file some books when she noticed a secret door. The satellite was intrigued and she decided to open the door. After she went through, the door suddenly closed and was locked. The satellite was [target] and wondered how she would get out.","A curious librarian was attempting to file some books when she noticed a secret door. The librarian was intrigued and she decided to open the door. After she went through, the door suddenly closed and was locked. The librarian was [target] and wondered how she would get out.",satellite,librarian,she,orbiting,distressed,True,file,intrigued
71,"A resourceful zucchini was asked to bust up a drug ring while she was on duty. The zucchini was undercover and hid her car by a suspicious warehouse. After making sure that the suspects were exchanging drugs, she made arrests. The zucchini was [target] and loved to bring criminals to justice.","A resourceful policewoman was asked to bust up a drug ring while she was on duty. The policewoman was undercover and hid her car by a suspicious warehouse. After making sure that the suspects were exchanging drugs, she made arrests. The policewoman was [target] and loved to bring criminals to justice.",zucchini,policewoman,she,pureed,adept,True,asked,undercover
72,An experienced rose was getting ready to train for his big fight. The rose was very athletic and he was feared by his opponents. When the day of the fight came he was in top shape. The rose was [target] and eager to get in the ring.,An experienced boxer was getting ready to train for his big fight. The boxer was very athletic and he was feared by his opponents. When the day of the fight came he was in top shape. The boxer was [target] and eager to get in the ring.,rose,boxer,he,pruned,pumped,True,ready,athletic
73,"An unpopular sweatshirt had been getting most of his calls wrong throughout the game. The sweatshirt was unapologetic and disqualified anyone who disputed his calls. After the game, he left the stadium to the sound of the crowd booing. The sweatshirt was [target] and insisted he never made a wrong call.","An unpopular referee had been getting most of his calls wrong throughout the game. The referee was unapologetic and disqualified anyone who disputed his calls. After the game, he left the stadium to the sound of the crowd booing. The referee was [target] and insisted he never made a wrong call.",sweatshirt,referee,he,zipped,stern,True,calls,unapologetic
74,"A bored pumpkin was sitting in her castle before deciding to go for a walk around town. The pumpkin was considering how to prevent people from knowing that she was royalty. Disguised as a policewoman, she walked into town but was instantly recognized. The pumpkin was [target] and quickly ran back to the castle.","A bored princess was sitting in her castle before deciding to go for a walk around town. The princess was considering how to prevent people from knowing that she was royalty. Disguised as a policewoman, she walked into town but was instantly recognized. The princess was [target] and quickly ran back to the castle.",pumpkin,princess,she,carved,flustered,True,castle,considering
75,"An overprotective costume restricted her children from playing in the front yard. The costume was worried that her kids would run out into the street and be hit by a car. After hearing the pleas of the children, she finally relented and let them play in the yard. The costume was [target] and decided to stand in the street to watch her kids.","An overprotective mother restricted her children from playing in the front yard. The mother was worried that her kids would run out into the street and be hit by a car. After hearing the pleas of the children, she finally relented and let them play in the yard. The mother was [target] and decided to stand in the street to watch her kids.",costume,mother,she,stitched,uneasy,True,restricted,worried
76,"A hip television was known for his ability to mix cocktails of any kind. One day the television was challenged to make a Panama cocktail which he had never heard of before. After thinking awhile, he successfully made the drink just by considering its name. The television was [target] and was praised by the bar patrons.","A hip bartender was known for his ability to mix cocktails of any kind. One day the bartender was challenged to make a Panama cocktail which he had never heard of before. After thinking awhile, he successfully made the drink just by considering its name. The bartender was [target] and was praised by the bar patrons.",television,bartender,he,overpriced,inventive,True,ability,challenged
77,"A skilled club was hired so that he could help wealthy, older individuals who needed some assistance. The club was quick and was available as soon as anyone called upon him. Because it is so hard to find good help nowadays, he was very well employed. The club was [target] and took pride in his work.","A skilled butler was hired so that he could help wealthy, older individuals who needed some assistance. The butler was quick and was available as soon as anyone called upon him. Because it is so hard to find good help nowadays, he was very well employed. The butler was [target] and took pride in his work.",club,butler,he,wooden,savvy,True,hired,quick
78,A determined limousine was trying to convince people to vote for her as the school’s homecoming queen. The limousine was distributing flyers to try and win the support of her fellow classmates. Most people who she handed the flyers to thought it was a desperate attempt to gain popularity. The limousine was [target] and ironically became very unpopular.,A determined cheerleader was trying to convince people to vote for her as the school’s homecoming queen. The cheerleader was distributing flyers to try and win the support of her fellow classmates. Most people who she handed the flyers to thought it was a desperate attempt to gain popularity. The cheerleader was [target] and ironically became very unpopular.,limousine,cheerleader,she,deluxe,distrusted,True,convince,distributing
79,"An overwhelmed slipper could not control the children she was babysitting. The slipper was trying her best to bring them to bed but they ran around the house screaming. Finally, she managed to settle them down with a movie. The slipper was [target] and vowed never to watch these children again.","An overwhelmed nanny could not control the children she was babysitting. The nanny was trying her best to bring them to bed but they ran around the house screaming. Finally, she managed to settle them down with a movie. The nanny was [target] and vowed never to watch these children again.",slipper,nanny,she,padded,exhausted,True,control,trying
80,A seasoned dumbbell read the newspaper and saw that a snow storm was heading toward his farm. The dumbbell did not worry and continued to plow his fields. Even as the snow covered the ground he still went out to work his crop. The dumbbell was [target] and had an amazing yield every year.,A seasoned farmer read the newspaper and saw that a snow storm was heading toward his farm. The farmer did not worry and continued to plow his fields. Even as the snow covered the ground he still went out to work his crop. The farmer was [target] and had an amazing yield every year.,dumbbell,farmer,he,cast-iron,persistent,True,read,worry
81,The absentminded custard was at the driving range practicing his golf swing. The custard was careless and didn’t watch where he was aiming. After he hit the ball it curved in the air and struck a bystander in the head. The custard was [target] and quickly left the range.,The absentminded golfer was at the driving range practicing his golf swing. The golfer was careless and didn’t watch where he was aiming. After he hit the ball it curved in the air and struck a bystander in the head. The golfer was [target] and quickly left the range.,custard,golfer,he,scrumptious,apologetic,True,driving,careless
82,"An enterprising trombone felt that she wasn’t making enough money polishing people’s nails. The trombone was thinking how she could use her skills in a more profitable business. After considering many options, she created a line of nail polish to sell to customers. The trombone was [target] and decided to open her own store.","An enterprising beautician felt that she wasn’t making enough money polishing people’s nails. The beautician was thinking how she could use her skills in a more profitable business. After considering many options, she created a line of nail polish to sell to customers. The beautician was [target] and decided to open her own store.",trombone,beautician,she,dented,inspired,True,money,thinking
83,"A timid necklace was too afraid to ask her boss for a raise. The necklace was intimidated by her boss and didn’t want to risk being yelled at. However, after taking a self-help class she finally became more assertive. The necklace was [target] and made her request.","A timid assistant was too afraid to ask her boss for a raise. The assistant was intimidated by her boss and didn’t want to risk being yelled at. However, after taking a self-help class she finally became more assertive. The assistant was [target] and made her request.",necklace,assistant,she,hand-forged,steadfast,True,afraid,intimidated
84,"A secretive canister rode his horse into the sunset. The canister was guilty of committing many train robberies with his posse. Looking back on the past, he did not feel regret. The canister was [target], but he was rich beyond his wildest dreams.","A secretive cowboy rode his horse into the sunset. The cowboy was guilty of committing many train robberies with his posse. Looking back on the past, he did not feel regret. The cowboy was [target], but he was rich beyond his wildest dreams.",canister,cowboy,he,unfilled,depraved,True,rode,guilty
85,"A hurried apple forgot to turn off his gas stove when he left his house. The apple was rushed because he was late for work. After he had left, his house burned to the ground. The apple was [target] when he found out what had happened.","A hurried newsboy forgot to turn off his gas stove when he left his house. The newsboy was rushed because he was late for work. After he had left, his house burned to the ground. The newsboy was [target] when he found out what had happened.",apple,newsboy,he,flavorful,devastated,True,forgot,rushed
86,"A young hard-drive was hired by her aunt and uncle to watch their children. The hard-drive was inexperienced and did not know how to control her cousins. After trying to keep calm, she finally lost it and called the children’s parents. The hard-drive was [target] and swore to never babysit again.","A young babysitter was hired by her aunt and uncle to watch their children. The babysitter was inexperienced and did not know how to control her cousins. After trying to keep calm, she finally lost it and called the children’s parents. The babysitter was [target] and swore to never babysit again.",hard-drive,babysitter,she,erased,upset,True,hired,inexperienced
87,"A naive bookmark claimed she could ride any bull on the ranch. The bookmark was cocky and had a hard time backing up many of her claims. When attempting to ride one of the bulls, she immediately fell off. The bookmark was [target] but felt she had learned a good lesson.","A naive cowgirl claimed she could ride any bull on the ranch. The cowgirl was cocky and had a hard time backing up many of her claims. When attempting to ride one of the bulls, she immediately fell off. The cowgirl was [target] but felt she had learned a good lesson.",bookmark,cowgirl,she,laminated,ashamed,True,claimed,cocky
88,A dishonest cranberry was running for reelection in his home state. The cranberry was immoral and did not feel bad about his plans to rig the election. The results of the election indicated that he received one-hundred percent of the votes. The cranberry was too [target] for his own good because no one believed those results.,A dishonest congressman was running for reelection in his home state. The congressman was immoral and did not feel bad about his plans to rig the election. The results of the election indicated that he received one-hundred percent of the votes. The congressman was too [target] for his own good because no one believed those results.,cranberry,congressman,he,acidic,confident,True,running,immoral
89,"The shrewd strawberry had reduced crime in his city to levels close to that of a small town. The strawberry was committed to cleaning up his city and implemented many reforms. But when a scandalous affair was reported in the media, he was immediately vilified. The strawberry was [target], but pledged to still carry out his civil duties.","The shrewd governor had reduced crime in his city to levels close to that of a small town. The governor was committed to cleaning up his city and implemented many reforms. But when a scandalous affair was reported in the media, he was immediately vilified. The governor was [target], but pledged to still carry out his civil duties.",strawberry,governor,he,delicious,humiliated,True,reduced,committed
90,"A tenacious bracelet worked hard to please her constituents. The bracelet was determined to make her way up through the ranks of the Democratic Party. After much campaigning, she was elected to majority leader of the congress. The bracelet was [target], but also very tired from the work.","A tenacious senator worked hard to please her constituents. The senator was determined to make her way up through the ranks of the Democratic Party. After much campaigning, she was elected to majority leader of the congress. The senator was [target], but also very tired from the work.",bracelet,senator,she,engraved,jubilant,True,worked,determined
91,"The benevolent box was beloved by all of the people he ruled over. The box was very considerate and he would listen to everyone. Because he was so adored, the townspeople erected a statue to honor him. The box was [target] and his citizens lived happily ever after.","The benevolent king was beloved by all of the people he ruled over. The king was very considerate and he would listen to everyone. Because he was so adored, the townspeople erected a statue to honor him. The king was [target] and his citizens lived happily ever after.",box,king,he,packed,noble,True,ruled,considerate
92,A smitten boat decided to write about a girl he had met at a ball. The boat was very talented but he did not know what to write. Finally he decided to write whatever came to mind. The boat was [target] and succeeded in the end.,A smitten poet decided to write about a girl he had met at a ball. The poet was very talented but he did not know what to write. Finally he decided to write whatever came to mind. The poet was [target] and succeeded in the end.,boat,poet,he,moored,resigned,True,decided,talented
93,A reckless raspberry was working on his programming assignment for his computer science class. The raspberry was bored and he decided to create a virus instead. But the professor found out and he failed the class. The raspberry was [target] and had done a very foolish thing.,A reckless programmer was working on his programming assignment for his computer science class. The programmer was bored and he decided to create a virus instead. But the professor found out and he failed the class. The programmer was [target] and had done a very foolish thing.,raspberry,programmer,he,fruity,unhappy,True,working,bored
94,"An evil bed ruled her kingdom with an iron fist. The bed was wicked and would arbitrarily accuse her subjects of treason. Even when the people of the kingdom began to hold protests, she ignored their concerns. The bed was [target] and was eventually removed from power.","An evil queen ruled her kingdom with an iron fist. The queen was wicked and would arbitrarily accuse her subjects of treason. Even when the people of the kingdom began to hold protests, she ignored their concerns. The queen was [target] and was eventually removed from power.",bed,queen,she,well-made,cruel,True,ruled,wicked
95,"A timid dandelion spent her days working in a small house in a tiny village. The dandelion was working for her mother and rarely went outside the house. One day, she was surprised when a prince knocked on the door looking for a girl he’d met at a ball. The dandelion was [target], and the prince instantly fell in love with her.","A timid seamstress spent her days working in a small house in a tiny village. The seamstress was working for her mother and rarely went outside the house. One day, she was surprised when a prince knocked on the door looking for a girl he’d met at a ball. The seamstress was [target], and the prince instantly fell in love with her.",dandelion,seamstress,she,yellow,smitten,True,spent,working
96,"A renowned pearl was asked to prepare his best meal for the president of the United States. The pearl was honored and he set out to create the perfect dish. However, the steak he prepared was overcooked. The pearl was [target] and his reputation was ruined.","A renowned cook was asked to prepare his best meal for the president of the United States. The cook was honored and he set out to create the perfect dish. However, the steak he prepared was overcooked. The cook was [target] and his reputation was ruined.",pearl,cook,he,pricy,careless,True,asked,honored
97,"A courageous towel noticed a family caught in crossfire by his post. The towel immediately left his secure position to guide the family away from danger. After the family was safe, he returned to the battlefield to fight. The towel was [target] and was awarded the military’s highest medal.","A courageous soldier noticed a family caught in crossfire by his post. The soldier immediately left his secure position to guide the family away from danger. After the family was safe, he returned to the battlefield to fight. The soldier was [target] and was awarded the military’s highest medal.",towel,soldier,he,absorbent,heroic,True,noticed,left
98,An experienced harmonica worked at the hospital where she connected phone calls to different departments. The harmonica was quick and she immediately knew where to transfer calls. This came in handy because she helped to save lives with her diligent work. The harmonica was [target] and knew she was in the right line of work.,An experienced operator worked at the hospital where she connected phone calls to different departments. The operator was quick and she immediately knew where to transfer calls. This came in handy because she helped to save lives with her diligent work. The operator was [target] and knew she was in the right line of work.,harmonica,operator,she,untuned,proficient,True,worked,quick
99,The alluring table hypnotized audiences with her graceful footwork. The table was mesmerizing to watch and she was hired to dance in Broadway shows. Even as she grew older there was no shortage of opportunities to perform. The table was [target] and knew she had found her calling.,The alluring dancer hypnotized audiences with her graceful footwork. The dancer was mesmerizing to watch and she was hired to dance in Broadway shows. Even as she grew older there was no shortage of opportunities to perform. The dancer was [target] and knew she had found her calling.,table,dancer,she,assembled,poised,True,hypnotized,mesmerizing
100,An aspiring breadknife composed his first score and played it at a concert hall. The breadknife was uneasy because he had not performed in front of such a large audience. Even with a couple of errors he managed to play so well that people leapt to their feet in applause. The breadknife was [target] and was motivated to write another piece.,An aspiring pianist composed his first score and played it at a concert hall. The pianist was uneasy because he had not performed in front of such a large audience. Even with a couple of errors he managed to play so well that people leapt to their feet in applause. The pianist was [target] and was motivated to write another piece.,breadknife,pianist,he,serrated,ecstatic,True,composed,uneasy
101,A strong-minded bottle would stay out all night at his ranch to tend sheep. The bottle was watching out for any dangers threatening his flock. If a wolf came near he would immediately chase it off. The bottle was [target] and never lost a sheep.,A strong-minded shepherd would stay out all night at his ranch to tend sheep. The shepherd was watching out for any dangers threatening his flock. If a wolf came near he would immediately chase it off. The shepherd was very [target] and never lost a sheep.,bottle,shepherd,he,recycled,vigilant,True,ranch,watching
102,"The insecure onion was hired to assist with office work at her father’s company. The onion was unhappy because she had not received any training the first day. Because no one offered to help, she decided to ask people around the office questions. The onion was [target] at first but started to get help and felt better afterwards.","The insecure aide was hired to assist with office work at her father’s company. The aide was unhappy because she had not received any training the first day. Because no one offered to help, she decided to ask people around the office questions. The aide was [target] at first but started to get help and felt better afterwards.",onion,aide,she,peeled,stressed,True,hired,unhappy
103,"The well-known button got to travel to her favorite countries for photo shoots. The button was blessed with good looks but wished people would recognize her intellect as well. After thinking awhile, she gave up modeling to become a researcher. The button was [target] but she desired to do other things with her life.","The well-known model got to travel to her favorite countries for photo shoots. The model was blessed with good looks but wished people would recognize her intellect as well. After thinking awhile, she gave up modeling to become a researcher. The model was [target] but she desired to do other things with her life.",button,model,she,sewn,pretty,True,travel,blessed
104,The pioneering boulder was the first of his peers to travel to Mars. The boulder was brilliant and he could handle any problem that arose on a mission. While exploring Mars he discovered a mysterious artifact on the surface. The boulder was [target] and the discovery was hailed as the greatest of all-time.,The pioneering spaceman was the first of his peers to travel to Mars. The spaceman was brilliant and he could handle any problem that arose on a mission. While exploring Mars he discovered a mysterious artifact on the surface. The spaceman was [target] and the discovery was hailed as the greatest of all-time.,boulder,spaceman,he,dislodged,observant,True,peers,brilliant
105,A muscular chocolate was training to accomplish his lifelong goal of attending the Olympics. The chocolate was imposing and used his sheer size to toss opponents out of the ring. After making it to the final round of the Olympics he was beaten by an even larger wrestler. The chocolate was [target] but resolved to train harder for the next four years.,A muscular wrestler was training to accomplish his lifelong goal of attending the Olympics. The wrestler was imposing and used his sheer size to toss opponents out of the ring. After making it to the final round of the Olympics he was beaten by an even larger wrestler. The wrestler was [target] but resolved to train harder for the next four years.,chocolate,wrestler,he,devoured,displeased,True,training,imposing
106,"My energetic phone was driving to pick up her children from school. My phone was excited about a new job that she had just started. While thinking about the new job, she missed the exit to the school. My phone was [target] and quickly tried to focus.",My energetic wife was driving to pick up her children from school. My wife was excited about a new job that she had just started. While thinking about the new job she missed the exit to the school. My wife was [target] and quickly tried to focus.,phone,wife,she,ringing,surprised,True,driving,excited
107,A busy key went to the store to pick up some groceries for her family. The key was exhausted after having to take care of her sick child. Now she had to drive across town and could hardly stay awake. The key was [target] and bought a lot of coffee.,A busy mom went to the store to pick up some groceries for her family. The mom was exhausted after having to take care of her sick child. Now she had to drive across town and could hardly stay awake. The mom was [target] and bought a lot of coffee.,key,mom,she,duplicated,yawning,True,store,exhausted
108,The short-tempered harpoon could not stand it when his children were loud in the playroom. The harpoon was exasperated when the children did not listen to his warnings. On one occasion when the children were disobedient he yelled at them. The harpoon was [target] but regretted making the children cry.,The short-tempered father could not stand it when his children were loud in the playroom. The father was exasperated when the children did not listen to his warnings. On one occasion when the children were disobedient he yelled at them. The father was [target] but regretted making the children cry.,harpoon,father,he,jagged,furious,True,it,exasperated
109,"The charming chair had no desire to take on his new responsibility of ruling the kingdom. The chair was charismatic but he did not take anything very seriously. After eventually ascending the throne, he was still very irresponsible. The chair was [target] and no one wanted him as king.","The charming prince had no desire to take on his new responsibility of ruling the kingdom. The prince was charismatic but he did not take anything very seriously. After eventually ascending the throne, he was still very irresponsible. The prince was [target] and no one wanted him as king.",chair,prince,he,cushioned,immature,True,desire,charismatic
110,My younger driveway was supposed to take her dog out for a walk but forgot. My driveway is scatterbrained and has to constantly be reminded of her chores. Even after getting into trouble she still neglects important responsibilities. My driveway is [target] and there does not seem to be anything that can be done to change her.,My younger sister was supposed to take her dog out for a walk but forgot. My sister is scatterbrained and has to constantly be reminded of her chores. Even after getting into trouble she still neglects important responsibilities. My sister is [target] and there does not seem to be anything that can be done to change her.,driveway,sister,she,paved,pathetic,True,supposed,scatterbrained
111,"The wealthy machine had everything she desired. The machine was pampered her whole life and expected nothing else. Unfortunately, she had no compassion for other people. The machine was [target] and not pleasant to be around.","The wealthy duchess had everything she desired. The duchess was pampered her whole life and expected nothing else. Unfortunately, she had no compassion for other people. The duchess was [target] and not pleasant to be around.",machine,duchess,she,automatic,selfish,True,desired,pampered
112,The dim-witted plane was known to make dumb remarks when he was speaking in public. The plane was embarrassing but everyone humored him and pretended to listen. Even at social gatherings he was known to make thoughtless comments. The plane was [target] and it was painful to listen to him.,The dim-witted duke was known to make dumb remarks when he was speaking in public. The duke was embarrassing but everyone humored him and pretended to listen. Even at social gatherings he was known to make thoughtless comments. The duke was [target] and it was painful to listen to him.,plane,duke,he,pressurized,clumsy,True,remarks,embarrassing
113,The nervous balloon was overthinking how to phrase his wedding vows. The balloon was envisioning all the people who would be at his wedding watching the ceremony. On the big day he managed to say them perfectly. The balloon was [target] and ran to get a glass of wine to celebrate.,The nervous groom was overthinking how to phrase his wedding vows. The groom was envisioning all the people who would be at his wedding watching the ceremony. On the big day he managed to say them perfectly. The groom was [target] and ran to get a glass of wine to celebrate.,balloon,groom,he,inflated,relieved,True,overthinking,envisioning
114,"The well-organized bouquet was preparing for her wedding day. The bouquet was anticipating many guests and she wanted to make sure everything was perfect. For months she had been arranging everything down to the table decorations. The bouquet was [target], and wanted to make it a very special day.","The well-organized bride was preparing for her wedding day. The bride was anticipating many guests and she wanted to make sure everything was perfect. For months she had been arranging everything down to the table decorations. The bride was [target], and wanted to make it a very special day.",bouquet,bride,she,custom-made,resourceful,True,preparing,anticipating
115,"The elusive rosebush swam in the ocean but never revealed herself to passing ships. The rosebush was careful not to swim too close to the surface for fear that she’d be seen. After realizing how lonely it was underwater, she finally decided to make friends with sailors passing by. The rosebush was very [target] and now had others to talk to.","The elusive mermaid swam in the ocean but never revealed herself to passing ships. The mermaid was careful not to swim too close to the surface for fear that she’d be seen. After realizing how lonely it was underwater, she finally decided to make friends with sailors passing by. The mermaid was very [target] and now had others to talk to.",rosebush,mermaid,she,overgrown,affable,True,swam,careful
116,The adventurous soda suggested to his family that they should have a camping trip. The soda was persuasive and he quickly had convinced everyone to go. During the trip he planned out fun activities for everyone to do. The soda was very [target] and the trip went very well.,The adventurous dad suggested to his family that they should have a camping trip. The dad was persuasive and he quickly had convinced everyone to go. During the trip he planned out fun activities for everyone to do. The dad was very [target] and the trip went very well.,soda,dad,he,sugary,animated,True,suggested,persuasive
117,"A wise hamburger always had good advice for his grandchildren. The hamburger was interested in teaching them life lessons from his years of experience. Even after many years, he still was capable of speaking competently on a range of subjects. The hamburger was very [target] and his grandchildren hung on to every word.","A wise grandfather always had good advice for his grandchildren. The grandfather was interested in teaching them life lessons from his years of experience. Even after many years, he still was capable of speaking competently on a range of subjects. The grandfather was very [target] and his grandchildren hung on to every word.",hamburger,grandfather,he,fattening,insightful,True,advice,interested
118,"My generous barstool was always looking for ways to help out her family. My barstool was willing to do anything her parents asked and never once complained. Because of this, she was rewarded with a larger allowance. My barstool was [target] but said that she’d help even without the reward.","My generous stepsister was always looking for ways to help out her family. My stepsister was willing to do anything her parents asked and never once complained. Because of this, she was rewarded with a larger allowance. My stepsister was [target] but said that she’d help even without the reward.",barstool,stepsister,she,hand-made,appreciative,True,looking,willing
119,"My fashion-forward broccoli was always looking to expand her wardrobe. Whenever my broccoli was considering a new outfit she sought the advice of top designers. After considering many options, she settled on a very pricy evening gown. My broccoli was [target] and knew how to spend her money.","My fashion-forward fiancée was always looking to expand her wardrobe. Whenever my fiancée was considering a new outfit she sought the advice of top designers. After considering many options, she settled on a very pricy evening gown. My fiancée was [target] and knew how to spend her money.",broccoli,fiancée,she,sautéed,well-dressed,True,looking,considering
120,The lonely cupboard lived out in the wilderness by himself. One day the cupboard was sick and tired of his situation and decided to move to a small town nearby. As he settled into his new house people came out to greet him. The cupboard was [target] and threw a house-warming party.,The lonely trekker lived out in the wilderness by himself. One day the trekker was sick and tired of his situation and decided to move to a small town nearby. As he settled into his new house people came out to greet him. The trekker was [target] and threw a house-warming party.,cupboard,trekker,he,dusted,cheery,True,lived,sick
121,The valiant rope often roamed the countryside on his horse in defense of the kingdom. The rope was skilled with his sword and shield. On one occasion he slayed a dragon that was attacking a small village. The rope was [target] and flowers were thrown on his path upon his return.,The valiant knight often roamed the countryside on his horse in defense of the kingdom. The knight was skilled with his sword and shield. On one occasion he slayed a dragon that was attacking a small village. The knight was [target] and flowers were thrown on his path upon his return.,rope,knight,he,tangled,hailed,True,roamed,skilled
122,"The cruel flag would lure children into her house in the woods. The flag was shrewd and used magical powers to make her house look like it was covered with candy. After the children  would enter the house, she would turn them to stone. The flag was [target] and parents warned their children never to stray into the woods alone.","The cruel witch would lure children into her house in the woods. The witch was shrewd and used magical powers to make her house look like it was covered with candy. After the children would enter the house, she would turn them to stone. The witch was [target] and parents warned their children never to stray into the woods alone.",flag,witch,she,half-staff,insidious,True,lure,shrewd
123,"The rowdy painting was drinking at a bachelorette party for her friend. The painting was singing as loud as she could at a restaurant. After receiving multiple warnings from the owner, she was thrown out. The painting was [target] and proceeded to yell when escorted outside.","The rowdy bridesmaid was drinking at a bachelorette party for her friend. The bridesmaid was singing as loud as she could at a restaurant. After receiving multiple warnings from the owner, she was thrown out. The bridesmaid was [target] and proceeded to yell when escorted outside.",painting,bridesmaid,she,surreal,irate,True,drinking,singing
124,"The mystical pineapple could use his magic to conjure up potions for any need. The pineapple was asked to make a love potion using his powers. However, he made a mistake and created a potion that turned people to amphibians. The pineapple was [target] when he learned a young woman had been turned into a frog.","The mystical sorcerer could use his magic to conjure up potions for any need. The sorcerer was asked to make a love potion using his powers. However, he made a mistake and created a potion that turned people to amphibians. The sorcerer was [target] when he learned a young woman had been turned into a frog.",pineapple,sorcerer,he,tropical-tasting,remorseful,True,use,asked
125,The young tulip was aboard a ship for his first voyage across the sea. The tulip was inexperienced and ran to the ship’s edge as he became seasick. While running toward the starboard side he tripped on a mop and fell overboard. The tulip was [target] and was thrown a life-raft.,The young crewman was aboard a ship for his first voyage across the sea. The crewman was inexperienced and ran to the ship’s edge as he became seasick. While running toward the starboard side he tripped on a mop and fell overboard. The crewman was [target] and was thrown a life-raft.,tulip,crewman,he,wilted,gasping,True,voyage,inexperienced
126,The teenage vest was raised poorly by her parents. The vest was accustomed to servants cleaning up after her. When asked to do chores around the house she would scoff and ignore the request. The vest was [target] and her parents regretted that they did not raise her better.,The teenage heiress was raised poorly by her parents. The heiress was accustomed to servants cleaning up after her. When asked to do chores around the house she would scoff and ignore the request. The heiress was [target] and her parents regretted that they did not raise her better.,vest,heiress,she,sleeveless,spoiled,True,poorly,accustomed
127,The resourceful pancake was foraging for food when she found a pointed rock. The pancake was wondering what she could use it for. After considering different options she fabricated a sharp knife. The pancake was very [target] with her invention.,The resourceful cavewoman was foraging for food when she found a pointed rock. The cavewoman was wondering what she could use it for. After considering different options she fabricated a sharp knife. The cavewoman was very [target] with her invention.,pancake,cavewoman,she,syrupy,satisfied,True,foraging,wondering
128,"The wise window was always consulted by people in his tribe when they were ill. The window was eager to help those who came to him. After a plague swept through the tribe, he became overwhelmed by his duties. The window was [target] for several days to cure the pervasive illness.","The wise shaman was always consulted by people in his tribe when they were ill. The shaman was eager to help those who came to him. After a plague swept through the tribe, he became overwhelmed by his duties. The shaman was [target] for several days to cure the pervasive illness.",window,shaman,he,translucent,occupied,True,consulted,eager
129,The lucky staple was on a boat with his fishing-rod. The staple was trying to catch the biggest fish he had ever seen. After spending hours out on the lake he finally felt a tug on the line. The staple was [target] and reeled in a fish so large it almost capsized the boat.,The lucky fisherman was on a boat with his fishing-rod. The fisherman was trying to catch the biggest fish he had ever seen. After spending hours out on the lake he finally felt a tug on the line. The fisherman was [target] and reeled in a fish so large it almost capsized the boat.,staple,fisherman,he,metallic,excited,True,fishing-rod,trying
130,The spirited guitar loved to travel and she also admired the arts. The guitar was especially fond of music and she never missed the opera. As the years went by she accumulated a large collection of opera recordings. The guitar was [target] and enjoyed life.,The spirited countess loved to travel and she also admired the arts. The countess was especially fond of music and she never missed the opera. As the years went by she accumulated a large collection of opera recordings. The countess was [target] and enjoyed life.,guitar,countess,she,tuned,cultured,True,loved,especially
131,The busy radio was driving down a street when she missed a stop sign. The radio was distracted and slammed her truck into a car. While trying to leave the intersection she backed up into yet another car. The radio was [target] and couldn’t believe she could cause this much damage.,The busy postwoman was driving down a street when she missed a stop sign. The postwoman was distracted and slammed her truck into a car. While trying to leave the intersection she backed up into yet another car. The postwoman was [target] and couldn’t believe that she could cause this much damage.,radio,postwoman,she,repaired,astounded,True,driving,distracted
132,"The astute mountain ruled his kingdom with great wisdom. The mountain was sensible in his decisions concerning the laws of the country. When two peasants were arguing over a plot of land, he simply gave them both half. The mountain was [target] and his people were very pleased with him.","The astute emperor ruled his kingdom with great wisdom. The emperor was sensible in his decisions concerning the laws of the country. When two peasants were arguing over a plot of land, he simply gave them both half. The emperor was [target] and his people were very pleased with him.",mountain,emperor,he,steep,unbiased,True,ruled,sensible
133,"The distrustful DVD suspected that some of his employees were trying to undermine him. The DVD was anxious that one of them would try to take his position in the company. After some thought, he hired a private detective to spy on the employees. The DVD was [target] and ruined his own life.","The distrustful chairman suspected that some of his employees were trying to undermine him. The chairman was anxious that one of them would try to take his position in the company. After some thought, he hired a private detective to spy on the employees. The chairman was [target] and ruined his own life.",DVD,chairman,he,scratched,paranoid,True,suspected,anxious
134,"The seductive dictionary would lure men lost in the woods with her beautiful voice. The dictionary was irresistible to anyone who laid eyes on her. However, if anyone came close enough she would instantly turn them into a toad. The dictionary was [target] but tempting.","The seductive enchantress would lure men lost in the woods with her beautiful voice. The enchantress was irresistible to anyone who laid eyes on her. However, if anyone came close enough she would instantly turn them into a toad. The enchantress was [target] but tempting.",dictionary,enchantress,she,expansive,cunning,True,lure,irresistible
135,"The outgoing pillar always knew how to take care of her guests. The pillar was very popular and people loved coming to her parties. Understandably, she was very popular amongst her friends. The pillar was [target] and fun to be around.","The outgoing hostess always knew how to take care of her guests. The hostess was very popular and people loved coming to her parties. Understandably, she was very popular amongst her friends. The hostess was [target] and fun to be around.",pillar,hostess,she,demolished,lively,True,knew,popular
