noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
hairpin,boy,omitted,HIGH,physical,The boy was very,The hairpin was very,The boy omitted and was very,The hairpin fell and was very,The hairpin omitted and was very,2,ADJ
ski,person,wept,HIGH,physical,The person started to,The ski started to,The person wept and started to,The ski fell and started to,The ski wept and started to,1,VERB
sketch,boy,evacuated,HIGH-MID,psychological,The boy was very,The sketch was very,The boy evacuated and was very,The sketch fell and was very,The sketch evacuated and was very,2,ADJ
ferry,person,grumbled,HIGH,physical,The person began to,The ferry began to,The person grumbled and began to,The ferry fell and began to,The ferry grumbled and began to,0,VERB
bra,child,moaned,HIGH,psychological,The child was very,The bra was very,The child moaned and was very,The bra fell and was very,The bra moaned and was very,2,ADJ
pie,person,shrieked,HIGH-MID,physical,The person was very,The pie was very,The person shrieked and was very,The pie fell and was very,The pie shrieked and was very,2,ADJ
suit,person,shivered,HIGH,physical,The person started to,The suit started to,The person shivered and started to,The suit fell and started to,The suit shivered and started to,1,VERB
pool,girl,howled,MID,physical,The girl was very,The pool was very,The girl howled and was very,The pool fell and was very,The pool howled and was very,2,ADJ
bucket,boy,hesitated,HIGH,psychological,The boy started to,The bucket started to,The boy hesitated and started to,The bucket fell and started to,The bucket hesitated and started to,1,VERB
seed,person,panted,HIGH,physical,The person began to,The seed began to,The person panted and began to,The seed fell and began to,The seed panted and began to,0,VERB
photograph,person,smiled,HIGH,physical,The person started to,The photograph started to,The person smiled and started to,The photograph fell and started to,The photograph smiled and started to,1,VERB
pendulum,boy,dreamed,HIGH,psychological,The boy became very,The pendulum became very,The boy dreamed and became very,The pendulum fell and became very,The pendulum dreamed and became very,3,ADJ
desk,girl,bowed,HIGH-MID,physical,The girl started to,The desk started to,The girl bowed and started to,The desk fell and started to,The desk bowed and started to,1,VERB
coin,boy,insisted,HIGH-MID,psychological,The boy began to,The coin began to,The boy insisted and began to,The coin fell and began to,The coin insisted and began to,0,VERB
stand,woman,chanted,HIGH,psychological,The woman became very,The stand became very,The woman chanted and became very,The stand fell and became very,The stand chanted and became very,3,ADJ
desk,child,saluted,HIGH,psychological,The child became very,The desk became very,The child saluted and became very,The desk fell and became very,The desk saluted and became very,3,ADJ
watch,woman,chose,HIGH,psychological,The woman began to,The watch began to,The woman chose and began to,The watch fell and began to,The watch chose and began to,0,VERB
aircraft,man,enquired,HIGH,psychological,The man began to,The aircraft began to,The man enquired and began to,The aircraft fell and began to,The aircraft enquired and began to,0,VERB
dart,man,dreamed,HIGH,psychological,The man was very,The dart was very,The man dreamed and was very,The dart fell and was very,The dart dreamed and was very,2,ADJ
costume,person,coughed,HIGH,physical,The person began to,The costume began to,The person coughed and began to,The costume fell and began to,The costume coughed and began to,0,VERB
magazine,child,enlisted,HIGH-MID,psychological,The child was very,The magazine was very,The child enlisted and was very,The magazine fell and was very,The magazine enlisted and was very,2,ADJ
plane,child,winked,HIGH-MID,physical,The child started to,The plane started to,The child winked and started to,The plane fell and started to,The plane winked and started to,1,VERB
rug,boy,pissed,HIGH,physical,The boy became very,The rug became very,The boy pissed and became very,The rug fell and became very,The rug pissed and became very,3,ADJ
note,man,fainted,HIGH,physical,The man was very,The note was very,The man fainted and was very,The note fell and was very,The note fainted and was very,2,ADJ
tractor,boy,giggled,HIGH,physical,The boy was very,The tractor was very,The boy giggled and was very,The tractor fell and was very,The tractor giggled and was very,2,ADJ
nest,man,pissed,HIGH,physical,The man started to,The nest started to,The man pissed and started to,The nest fell and started to,The nest pissed and started to,1,VERB
plank,person,stepped,HIGH,physical,The person was very,The plank was very,The person stepped and was very,The plank fell and was very,The plank stepped and was very,2,ADJ
uniform,girl,waited,HIGH,psychological,The girl became very,The uniform became very,The girl waited and became very,The uniform fell and became very,The uniform waited and became very,3,ADJ
saddle,boy,shivered,HIGH,physical,The boy was very,The saddle was very,The boy shivered and was very,The saddle fell and was very,The saddle shivered and was very,2,ADJ
overcoat,girl,slept,HIGH,physical,The girl began to,The overcoat began to,The girl slept and began to,The overcoat fell and began to,The overcoat slept and began to,0,VERB
stand,girl,trained,HIGH-MID,psychological,The girl was very,The stand was very,The girl trained and was very,The stand fell and was very,The stand trained and was very,2,ADJ
mine,man,pled,HIGH,psychological,The man started to,The mine started to,The man pled and started to,The mine fell and started to,The mine pled and started to,1,VERB
timepiece,boy,obeyed,HIGH-MID,psychological,The boy became very,The timepiece became very,The boy obeyed and became very,The timepiece fell and became very,The timepiece obeyed and became very,3,ADJ
tractor,boy,insisted,HIGH-MID,psychological,The boy began to,The tractor began to,The boy insisted and began to,The tractor fell and began to,The tractor insisted and began to,0,VERB
sock,girl,sang,HIGH-MID,physical,The girl began to,The sock began to,The girl sang and began to,The sock fell and began to,The sock sang and began to,0,VERB
pistol,child,whispered,HIGH,physical,The child was very,The pistol was very,The child whispered and was very,The pistol fell and was very,The pistol whispered and was very,2,ADJ
photograph,man,yelled,HIGH,physical,The man was very,The photograph was very,The man yelled and was very,The photograph fell and was very,The photograph yelled and was very,2,ADJ
ion,girl,rushed,HIGH-MID,psychological,The girl was very,The ion was very,The girl rushed and was very,The ion fell and was very,The ion rushed and was very,2,ADJ
goblet,man,winked,HIGH-MID,physical,The man became very,The goblet became very,The man winked and became very,The goblet fell and became very,The goblet winked and became very,3,ADJ
quilt,person,applauded,HIGH-MID,psychological,The person became very,The quilt became very,The person applauded and became very,The quilt fell and became very,The quilt applauded and became very,3,ADJ
ticket,child,paced,HIGH,physical,The child began to,The ticket began to,The child paced and began to,The ticket fell and began to,The ticket paced and began to,0,VERB
sofa,child,argued,HIGH-MID,psychological,The child was very,The sofa was very,The child argued and was very,The sofa fell and was very,The sofa argued and was very,2,ADJ
wheel,woman,drank,HIGH,physical,The woman began to,The wheel began to,The woman drank and began to,The wheel fell and began to,The wheel drank and began to,0,VERB
costume,child,hastened,HIGH-MID,psychological,The child was very,The costume was very,The child hastened and was very,The costume fell and was very,The costume hastened and was very,2,ADJ
wheel,woman,bowed,HIGH-MID,physical,The woman was very,The wheel was very,The woman bowed and was very,The wheel fell and was very,The wheel bowed and was very,2,ADJ
prune,boy,grimaced,HIGH,physical,The boy started to,The prune started to,The boy grimaced and started to,The prune fell and started to,The prune grimaced and started to,1,VERB
tape,boy,limped,HIGH-MID,physical,The boy became very,The tape became very,The boy limped and became very,The tape fell and became very,The tape limped and became very,3,ADJ
plane,girl,knelt,HIGH,physical,The girl was very,The plane was very,The girl knelt and was very,The plane fell and was very,The plane knelt and was very,2,ADJ
rock,man,forgot,HIGH,psychological,The man became very,The rock became very,The man forgot and became very,The rock fell and became very,The rock forgot and became very,3,ADJ
chisel,person,grimaced,HIGH,physical,The person was very,The chisel was very,The person grimaced and was very,The chisel fell and was very,The chisel grimaced and was very,2,ADJ
timepiece,child,rambled,HIGH-MID,physical,The child began to,The timepiece began to,The child rambled and began to,The timepiece fell and began to,The timepiece rambled and began to,0,VERB
overcoat,man,drawled,HIGH,physical,The man started to,The overcoat started to,The man drawled and started to,The overcoat fell and started to,The overcoat drawled and started to,1,VERB
glove,woman,mumbled,HIGH,physical,The woman became very,The glove became very,The woman mumbled and became very,The glove fell and became very,The glove mumbled and became very,3,ADJ
tractor,woman,stole,HIGH-MID,psychological,The woman became very,The tractor became very,The woman stole and became very,The tractor fell and became very,The tractor stole and became very,3,ADJ
gun,person,sighed,HIGH,physical,The person was very,The gun was very,The person sighed and was very,The gun fell and was very,The gun sighed and was very,2,ADJ
van,girl,mourned,HIGH-MID,psychological,The girl was very,The van was very,The girl mourned and was very,The van fell and was very,The van mourned and was very,2,ADJ
candle,girl,wondered,HIGH,psychological,The girl became very,The candle became very,The girl wondered and became very,The candle fell and became very,The candle wondered and became very,3,ADJ
door,man,disagreed,HIGH-MID,psychological,The man was very,The door was very,The man disagreed and was very,The door fell and was very,The door disagreed and was very,2,ADJ
picture,boy,read,HIGH,psychological,The boy was very,The picture was very,The boy read and was very,The picture fell and was very,The picture read and was very,2,ADJ
hat,person,chose,HIGH,psychological,The person became very,The hat became very,The person chose and became very,The hat fell and became very,The hat chose and became very,3,ADJ
cocktail,boy,ducked,HIGH,physical,The boy started to,The cocktail started to,The boy ducked and started to,The cocktail fell and started to,The cocktail ducked and started to,1,VERB
spoon,woman,chuckled,HIGH,physical,The woman was very,The spoon was very,The woman chuckled and was very,The spoon fell and was very,The spoon chuckled and was very,2,ADJ
sandal,girl,dozed,HIGH,physical,The girl started to,The sandal started to,The girl dozed and started to,The sandal fell and started to,The sandal dozed and started to,1,VERB
book,woman,struggled,HIGH-MID,psychological,The woman started to,The book started to,The woman struggled and started to,The book fell and started to,The book struggled and started to,1,VERB
ring,girl,retired,HIGH,psychological,The girl started to,The ring started to,The girl retired and started to,The ring fell and started to,The ring retired and started to,1,VERB
helmet,girl,died,HIGH,physical,The girl was very,The helmet was very,The girl died and was very,The helmet fell and was very,The helmet died and was very,2,ADJ
tweezers,woman,worried,HIGH-MID,psychological,The woman was very,The tweezers was very,The woman worried and was very,The tweezers fell and was very,The tweezers worried and was very,2,ADJ
wallet,child,paced,HIGH,physical,The child started to,The wallet started to,The child paced and started to,The wallet fell and started to,The wallet paced and started to,1,VERB
bagpipe,girl,worried,HIGH-MID,psychological,The girl was very,The bagpipe was very,The girl worried and was very,The bagpipe fell and was very,The bagpipe worried and was very,2,ADJ
painting,person,hastened,HIGH-MID,psychological,The person was very,The painting was very,The person hastened and was very,The painting fell and was very,The painting hastened and was very,2,ADJ
dagger,person,conceded,HIGH-MID,psychological,The person began to,The dagger began to,The person conceded and began to,The dagger fell and began to,The dagger conceded and began to,0,VERB
collar,child,danced,HIGH-MID,physical,The child was very,The collar was very,The child danced and was very,The collar fell and was very,The collar danced and was very,2,ADJ
blouse,girl,stole,HIGH-MID,psychological,The girl became very,The blouse became very,The girl stole and became very,The blouse fell and became very,The blouse stole and became very,3,ADJ
biscuit,girl,stepped,HIGH,physical,The girl became very,The biscuit became very,The girl stepped and became very,The biscuit fell and became very,The biscuit stepped and became very,3,ADJ
necklace,man,sneered,HIGH,psychological,The man started to,The necklace started to,The man sneered and started to,The necklace fell and started to,The necklace sneered and started to,1,VERB
firewood,child,stumbled,HIGH,physical,The child was very,The firewood was very,The child stumbled and was very,The firewood fell and was very,The firewood stumbled and was very,2,ADJ
box,child,showered,HIGH-MID,physical,The child began to,The box began to,The child showered and began to,The box fell and began to,The box showered and began to,0,VERB
camera,woman,sobbed,HIGH,physical,The woman started to,The camera started to,The woman sobbed and started to,The camera fell and started to,The camera sobbed and started to,1,VERB
mattress,woman,mourned,HIGH-MID,psychological,The woman started to,The mattress started to,The woman mourned and started to,The mattress fell and started to,The mattress mourned and started to,1,VERB
missile,woman,grumbled,HIGH,physical,The woman was very,The missile was very,The woman grumbled and was very,The missile fell and was very,The missile grumbled and was very,2,ADJ
twig,boy,recovered,HIGH-MID,physical,The boy became very,The twig became very,The boy recovered and became very,The twig fell and became very,The twig recovered and became very,3,ADJ
sword,boy,pursued,HIGH-MID,psychological,The boy became very,The sword became very,The boy pursued and became very,The sword fell and became very,The sword pursued and became very,3,ADJ
candy,girl,commented,HIGH-MID,psychological,The girl became very,The candy became very,The girl commented and became very,The candy fell and became very,The candy commented and became very,3,ADJ
map,person,flinched,HIGH,physical,The person was very,The map was very,The person flinched and was very,The map fell and was very,The map flinched and was very,2,ADJ
chair,child,trained,HIGH-MID,psychological,The child was very,The chair was very,The child trained and was very,The chair fell and was very,The chair trained and was very,2,ADJ
sofa,woman,conceded,HIGH-MID,psychological,The woman became very,The sofa became very,The woman conceded and became very,The sofa fell and became very,The sofa conceded and became very,3,ADJ
thermometer,boy,consented,HIGH-MID,psychological,The boy became very,The thermometer became very,The boy consented and became very,The thermometer fell and became very,The thermometer consented and became very,3,ADJ
wagon,boy,clapped,HIGH,physical,The boy began to,The wagon began to,The boy clapped and began to,The wagon fell and began to,The wagon clapped and began to,0,VERB
automobile,child,pounced,HIGH-MID,physical,The child became very,The automobile became very,The child pounced and became very,The automobile fell and became very,The automobile pounced and became very,3,ADJ
hairpin,woman,snorted,HIGH,physical,The woman became very,The hairpin became very,The woman snorted and became very,The hairpin fell and became very,The hairpin snorted and became very,3,ADJ
hairpin,boy,jumped,HIGH-MID,physical,The boy began to,The hairpin began to,The boy jumped and began to,The hairpin fell and began to,The hairpin jumped and began to,0,VERB
bag,person,clapped,HIGH,physical,The person became very,The bag became very,The person clapped and became very,The bag fell and became very,The bag clapped and became very,3,ADJ
universe,child,grieved,HIGH,psychological,The child was very,The universe was very,The child grieved and was very,The universe fell and was very,The universe grieved and was very,2,ADJ
pot,girl,visited,HIGH,psychological,The girl started to,The pot started to,The girl visited and started to,The pot fell and started to,The pot visited and started to,1,VERB
whistle,man,obeyed,HIGH-MID,psychological,The man became very,The whistle became very,The man obeyed and became very,The whistle fell and became very,The whistle obeyed and became very,3,ADJ
cocktail,man,objected,HIGH-MID,psychological,The man became very,The cocktail became very,The man objected and became very,The cocktail fell and became very,The cocktail objected and became very,3,ADJ
flower,girl,sighed,HIGH,physical,The girl started to,The flower started to,The girl sighed and started to,The flower fell and started to,The flower sighed and started to,1,VERB
stairs,child,crawled,HIGH-MID,physical,The child started to,The stairs started to,The child crawled and started to,The stairs fell and started to,The stairs crawled and started to,1,VERB
truck,boy,shuddered,HIGH-MID,physical,The boy was very,The truck was very,The boy shuddered and was very,The truck fell and was very,The truck shuddered and was very,2,ADJ
amplifier,woman,hurried,HIGH,psychological,The woman started to,The amplifier started to,The woman hurried and started to,The amplifier fell and started to,The amplifier hurried and started to,1,VERB
hairpin,boy,swore,HIGH,psychological,The boy was very,The hairpin was very,The boy swore and was very,The hairpin fell and was very,The hairpin swore and was very,2,ADJ
key,child,chanted,HIGH,psychological,The child was very,The key was very,The child chanted and was very,The key fell and was very,The key chanted and was very,2,ADJ
pillow,boy,replied,HIGH,psychological,The boy was very,The pillow was very,The boy replied and was very,The pillow fell and was very,The pillow replied and was very,2,ADJ
ring,boy,sniffed,HIGH,physical,The boy was very,The ring was very,The boy sniffed and was very,The ring fell and was very,The ring sniffed and was very,2,ADJ
train,woman,confessed,HIGH,psychological,The woman was very,The train was very,The woman confessed and was very,The train fell and was very,The train confessed and was very,2,ADJ
gown,girl,scowled,HIGH,psychological,The girl was very,The gown was very,The girl scowled and was very,The gown fell and was very,The gown scowled and was very,2,ADJ
bag,man,complained,HIGH,psychological,The man was very,The bag was very,The man complained and was very,The bag fell and was very,The bag complained and was very,2,ADJ
television,boy,bled,MID,physical,The boy was very,The television was very,The boy bled and was very,The television fell and was very,The television bled and was very,2,ADJ
car,woman,bled,MID,physical,The woman began to,The car began to,The woman bled and began to,The car fell and began to,The car bled and began to,0,VERB
lens,boy,cheated,HIGH,psychological,The boy was very,The lens was very,The boy cheated and was very,The lens fell and was very,The lens cheated and was very,2,ADJ
violin,woman,thought,HIGH,psychological,The woman became very,The violin became very,The woman thought and became very,The violin fell and became very,The violin thought and became very,3,ADJ
football,person,winked,HIGH-MID,physical,The person was very,The football was very,The person winked and was very,The football fell and was very,The football winked and was very,2,ADJ
ship,person,sighed,HIGH,physical,The person began to,The ship began to,The person sighed and began to,The ship fell and began to,The ship sighed and began to,0,VERB
van,child,pondered,HIGH,psychological,The child became very,The van became very,The child pondered and became very,The van fell and became very,The van pondered and became very,3,ADJ
ship,boy,exclaimed,HIGH,psychological,The boy started to,The ship started to,The boy exclaimed and started to,The ship fell and started to,The ship exclaimed and started to,1,VERB
coffin,man,swam,MID,physical,The man began to,The coffin began to,The man swam and began to,The coffin fell and began to,The coffin swam and began to,0,VERB
costume,boy,married,HIGH,psychological,The boy became very,The costume became very,The boy married and became very,The costume fell and became very,The costume married and became very,3,ADJ
canoe,boy,bathed,HIGH-MID,physical,The boy became very,The canoe became very,The boy bathed and became very,The canoe fell and became very,The canoe bathed and became very,3,ADJ
lamp,man,applauded,HIGH-MID,psychological,The man started to,The lamp started to,The man applauded and started to,The lamp fell and started to,The lamp applauded and started to,1,VERB
timepiece,woman,jogged,HIGH-MID,physical,The woman began to,The timepiece began to,The woman jogged and began to,The timepiece fell and began to,The timepiece jogged and began to,0,VERB
trombone,man,searched,HIGH-MID,psychological,The man was very,The trombone was very,The man searched and was very,The trombone fell and was very,The trombone searched and was very,2,ADJ
hat,man,clapped,HIGH,physical,The man became very,The hat became very,The man clapped and became very,The hat fell and became very,The hat clapped and became very,3,ADJ
pants,girl,barked,MID,physical,The girl started to,The pants started to,The girl barked and started to,The pants fell and started to,The pants barked and started to,1,VERB
banner,child,grieved,HIGH,psychological,The child began to,The banner began to,The child grieved and began to,The banner fell and began to,The banner grieved and began to,0,VERB
electron,child,drawled,HIGH,physical,The child became very,The electron became very,The child drawled and became very,The electron fell and became very,The electron drawled and became very,3,ADJ
mine,woman,hastened,HIGH-MID,psychological,The woman became very,The mine became very,The woman hastened and became very,The mine fell and became very,The mine hastened and became very,3,ADJ
letter,woman,gasped,HIGH,physical,The woman began to,The letter began to,The woman gasped and began to,The letter fell and began to,The letter gasped and began to,0,VERB
microscope,person,argued,HIGH-MID,psychological,The person was very,The microscope was very,The person argued and was very,The microscope fell and was very,The microscope argued and was very,2,ADJ
tape,man,fled,HIGH-MID,physical,The man began to,The tape began to,The man fled and began to,The tape fell and began to,The tape fled and began to,0,VERB
tank,man,waved,HIGH,physical,The man began to,The tank began to,The man waved and began to,The tank fell and began to,The tank waved and began to,0,VERB
key,boy,inhaled,HIGH,physical,The boy began to,The key began to,The boy inhaled and began to,The key fell and began to,The key inhaled and began to,0,VERB
truck,man,grumbled,HIGH,physical,The man became very,The truck became very,The man grumbled and became very,The truck fell and became very,The truck grumbled and became very,3,ADJ
zipper,person,agreed,HIGH-MID,psychological,The person began to,The zipper began to,The person agreed and began to,The zipper fell and began to,The zipper agreed and began to,0,VERB
universe,girl,grimaced,HIGH,physical,The girl became very,The universe became very,The girl grimaced and became very,The universe fell and became very,The universe grimaced and became very,3,ADJ
sword,woman,bowed,HIGH-MID,physical,The woman was very,The sword was very,The woman bowed and was very,The sword fell and was very,The sword bowed and was very,2,ADJ
dish,child,paced,HIGH,physical,The child was very,The dish was very,The child paced and was very,The dish fell and was very,The dish paced and was very,2,ADJ
root,child,yelled,HIGH,physical,The child started to,The root started to,The child yelled and started to,The root fell and started to,The root yelled and started to,1,VERB
dictionary,child,pondered,HIGH,psychological,The child became very,The dictionary became very,The child pondered and became very,The dictionary fell and became very,The dictionary pondered and became very,3,ADJ
road,person,emigrated,HIGH,psychological,The person became very,The road became very,The person emigrated and became very,The road fell and became very,The road emigrated and became very,3,ADJ
chocolate,boy,moaned,HIGH,psychological,The boy became very,The chocolate became very,The boy moaned and became very,The chocolate fell and became very,The chocolate moaned and became very,3,ADJ
picture,man,laughed,HIGH,physical,The man began to,The picture began to,The man laughed and began to,The picture fell and began to,The picture laughed and began to,0,VERB
saxophone,woman,preached,HIGH,psychological,The woman became very,The saxophone became very,The woman preached and became very,The saxophone fell and became very,The saxophone preached and became very,3,ADJ
paper,man,breathed,HIGH,physical,The man started to,The paper started to,The man breathed and started to,The paper fell and started to,The paper breathed and started to,1,VERB
telephone,boy,bathed,HIGH-MID,physical,The boy became very,The telephone became very,The boy bathed and became very,The telephone fell and became very,The telephone bathed and became very,3,ADJ
costume,man,answered,HIGH,psychological,The man began to,The costume began to,The man answered and began to,The costume fell and began to,The costume answered and began to,0,VERB
screen,boy,suspected,HIGH,psychological,The boy became very,The screen became very,The boy suspected and became very,The screen fell and became very,The screen suspected and became very,3,ADJ
tire,woman,remembered,HIGH,psychological,The woman became very,The tire became very,The woman remembered and became very,The tire fell and became very,The tire remembered and became very,3,ADJ
mallet,girl,listened,HIGH,physical,The girl began to,The mallet began to,The girl listened and began to,The mallet fell and began to,The mallet listened and began to,0,VERB
coin,woman,muttered,HIGH,physical,The woman started to,The coin started to,The woman muttered and started to,The coin fell and started to,The coin muttered and started to,1,VERB
piano,girl,squinted,HIGH,physical,The girl started to,The piano started to,The girl squinted and started to,The piano fell and started to,The piano squinted and started to,1,VERB
thorn,man,pursued,HIGH-MID,psychological,The man started to,The thorn started to,The man pursued and started to,The thorn fell and started to,The thorn pursued and started to,1,VERB
corpse,boy,swam,MID,physical,The boy became very,The corpse became very,The boy swam and became very,The corpse fell and became very,The corpse swam and became very,3,ADJ
zipper,person,trained,HIGH-MID,psychological,The person became very,The zipper became very,The person trained and became very,The zipper fell and became very,The zipper trained and became very,3,ADJ
basket,woman,forgot,HIGH,psychological,The woman started to,The basket started to,The woman forgot and started to,The basket fell and started to,The basket forgot and started to,1,VERB
screen,man,married,HIGH,psychological,The man began to,The screen began to,The man married and began to,The screen fell and began to,The screen married and began to,0,VERB
plane,woman,barked,MID,physical,The woman started to,The plane started to,The woman barked and started to,The plane fell and started to,The plane barked and started to,1,VERB
fruit,man,complained,HIGH,psychological,The man started to,The fruit started to,The man complained and started to,The fruit fell and started to,The fruit complained and started to,1,VERB
engine,girl,muttered,HIGH,physical,The girl was very,The engine was very,The girl muttered and was very,The engine fell and was very,The engine muttered and was very,2,ADJ
refrigerator,person,waved,HIGH,physical,The person began to,The refrigerator began to,The person waved and began to,The refrigerator fell and began to,The refrigerator waved and began to,0,VERB
suit,woman,argued,HIGH-MID,psychological,The woman started to,The suit started to,The woman argued and started to,The suit fell and started to,The suit argued and started to,1,VERB
blouse,child,sobbed,HIGH,physical,The child became very,The blouse became very,The child sobbed and became very,The blouse fell and became very,The blouse sobbed and became very,3,ADJ
wagon,boy,stole,HIGH-MID,psychological,The boy began to,The wagon began to,The boy stole and began to,The wagon fell and began to,The wagon stole and began to,0,VERB
key,boy,showered,HIGH-MID,physical,The boy started to,The key started to,The boy showered and started to,The key fell and started to,The key showered and started to,1,VERB
seed,woman,waited,HIGH,psychological,The woman became very,The seed became very,The woman waited and became very,The seed fell and became very,The seed waited and became very,3,ADJ
purse,girl,stared,HIGH,physical,The girl was very,The purse was very,The girl stared and was very,The purse fell and was very,The purse stared and was very,2,ADJ
plate,man,starved,HIGH,physical,The man started to,The plate started to,The man starved and started to,The plate fell and started to,The plate starved and started to,1,VERB
shawl,person,forgot,HIGH,psychological,The person was very,The shawl was very,The person forgot and was very,The shawl fell and was very,The shawl forgot and was very,2,ADJ
sandal,child,paced,HIGH,physical,The child was very,The sandal was very,The child paced and was very,The sandal fell and was very,The sandal paced and was very,2,ADJ
tripod,man,volunteered,HIGH,psychological,The man was very,The tripod was very,The man volunteered and was very,The tripod fell and was very,The tripod volunteered and was very,2,ADJ
sock,child,enlisted,HIGH-MID,psychological,The child started to,The sock started to,The child enlisted and started to,The sock fell and started to,The sock enlisted and started to,1,VERB
dictionary,person,sang,HIGH-MID,physical,The person became very,The dictionary became very,The person sang and became very,The dictionary fell and became very,The dictionary sang and became very,3,ADJ
needle,girl,shuddered,HIGH-MID,physical,The girl was very,The needle was very,The girl shuddered and was very,The needle fell and was very,The needle shuddered and was very,2,ADJ
ferry,boy,breathed,HIGH,physical,The boy became very,The ferry became very,The boy breathed and became very,The ferry fell and became very,The ferry breathed and became very,3,ADJ
pearl,woman,chose,HIGH,psychological,The woman was very,The pearl was very,The woman chose and was very,The pearl fell and was very,The pearl chose and was very,2,ADJ
twig,person,gasped,HIGH,physical,The person started to,The twig started to,The person gasped and started to,The twig fell and started to,The twig gasped and started to,1,VERB
knife,person,omitted,HIGH,physical,The person began to,The knife began to,The person omitted and began to,The knife fell and began to,The knife omitted and began to,0,VERB
horn,man,trotted,HIGH-MID,physical,The man was very,The horn was very,The man trotted and was very,The horn fell and was very,The horn trotted and was very,2,ADJ
horn,man,grunted,HIGH,physical,The man started to,The horn started to,The man grunted and started to,The horn fell and started to,The horn grunted and started to,1,VERB
sketch,boy,preached,HIGH,psychological,The boy began to,The sketch began to,The boy preached and began to,The sketch fell and began to,The sketch preached and began to,0,VERB
fruit,person,sneered,HIGH,psychological,The person was very,The fruit was very,The person sneered and was very,The fruit fell and was very,The fruit sneered and was very,2,ADJ
instrument,person,bellowed,HIGH,physical,The person was very,The instrument was very,The person bellowed and was very,The instrument fell and was very,The instrument bellowed and was very,2,ADJ
plate,boy,misunderstood,HIGH,psychological,The boy started to,The plate started to,The boy misunderstood and started to,The plate fell and started to,The plate misunderstood and started to,1,VERB
stick,man,drank,HIGH,physical,The man started to,The stick started to,The man drank and started to,The stick fell and started to,The stick drank and started to,1,VERB
shield,child,bellowed,HIGH,physical,The child began to,The shield began to,The child bellowed and began to,The shield fell and began to,The shield bellowed and began to,0,VERB
envelope,boy,snored,HIGH,physical,The boy started to,The envelope started to,The boy snored and started to,The envelope fell and started to,The envelope snored and started to,1,VERB
mattress,girl,disagreed,HIGH-MID,psychological,The girl became very,The mattress became very,The girl disagreed and became very,The mattress fell and became very,The mattress disagreed and became very,3,ADJ
letter,girl,groaned,HIGH,psychological,The girl became very,The letter became very,The girl groaned and became very,The letter fell and became very,The letter groaned and became very,3,ADJ
basket,person,drank,HIGH,physical,The person became very,The basket became very,The person drank and became very,The basket fell and became very,The basket drank and became very,3,ADJ
lantern,man,agreed,HIGH-MID,psychological,The man was very,The lantern was very,The man agreed and was very,The lantern fell and was very,The lantern agreed and was very,2,ADJ
violin,child,practised,HIGH-MID,psychological,The child was very,The violin was very,The child practised and was very,The violin fell and was very,The violin practised and was very,2,ADJ
sketch,man,exclaimed,HIGH,psychological,The man was very,The sketch was very,The man exclaimed and was very,The sketch fell and was very,The sketch exclaimed and was very,2,ADJ
balloon,man,screamed,HIGH-MID,physical,The man started to,The balloon started to,The man screamed and started to,The balloon fell and started to,The balloon screamed and started to,1,VERB
pot,girl,shuddered,HIGH-MID,physical,The girl began to,The pot began to,The girl shuddered and began to,The pot fell and began to,The pot shuddered and began to,0,VERB
plane,child,noticed,HIGH,psychological,The child began to,The plane began to,The child noticed and began to,The plane fell and began to,The plane noticed and began to,0,VERB
door,woman,yelled,HIGH,physical,The woman started to,The door started to,The woman yelled and started to,The door fell and started to,The door yelled and started to,1,VERB
cake,person,trained,HIGH-MID,psychological,The person started to,The cake started to,The person trained and started to,The cake fell and started to,The cake trained and started to,1,VERB
football,child,read,HIGH,psychological,The child was very,The football was very,The child read and was very,The football fell and was very,The football read and was very,2,ADJ
mirror,woman,meditated,HIGH,psychological,The woman became very,The mirror became very,The woman meditated and became very,The mirror fell and became very,The mirror meditated and became very,3,ADJ
sun,man,panicked,HIGH,psychological,The man became very,The sun became very,The man panicked and became very,The sun fell and became very,The sun panicked and became very,3,ADJ
branch,man,showered,HIGH-MID,physical,The man began to,The branch began to,The man showered and began to,The branch fell and began to,The branch showered and began to,0,VERB
whistle,woman,married,HIGH,psychological,The woman became very,The whistle became very,The woman married and became very,The whistle fell and became very,The whistle married and became very,3,ADJ
oar,person,voted,MID,psychological,The person became very,The oar became very,The person voted and became very,The oar fell and became very,The oar voted and became very,3,ADJ
knife,child,ducked,HIGH,physical,The child was very,The knife was very,The child ducked and was very,The knife fell and was very,The knife ducked and was very,2,ADJ
radio,child,pled,HIGH,psychological,The child began to,The radio began to,The child pled and began to,The radio fell and began to,The radio pled and began to,0,VERB
wheel,man,revelled,HIGH,psychological,The man became very,The wheel became very,The man revelled and became very,The wheel fell and became very,The wheel revelled and became very,3,ADJ
yacht,boy,bowed,HIGH-MID,physical,The boy started to,The yacht started to,The boy bowed and started to,The yacht fell and started to,The yacht bowed and started to,1,VERB
stairs,woman,shrieked,HIGH-MID,physical,The woman became very,The stairs became very,The woman shrieked and became very,The stairs fell and became very,The stairs shrieked and became very,3,ADJ
bagpipe,girl,pissed,HIGH,physical,The girl was very,The bagpipe was very,The girl pissed and was very,The bagpipe fell and was very,The bagpipe pissed and was very,2,ADJ
