noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
brush,scout,inhaled,HIGH,physical,The scout became very,The brush became very,The scout inhaled and became very,The brush fell and became very,The brush inhaled and became very,3,ADJ
nickel,nurse,snorted,HIGH,physical,The nurse started to,The nickel started to,The nurse snorted and started to,The nickel fell and started to,The nickel snorted and started to,1,VERB
bucket,grandson,danced,HIGH-MID,physical,The grandson began to,The bucket began to,The grandson danced and began to,The bucket fell and began to,The bucket danced and began to,0,VERB
pot,journalist,danced,HIGH-MID,physical,The journalist began to,The pot began to,The journalist danced and began to,The pot fell and began to,The pot danced and began to,0,VERB
antenna,uncle,interrupted,HIGH-MID,psychological,The uncle was very,The antenna was very,The uncle interrupted and was very,The antenna fell and was very,The antenna interrupted and was very,2,ADJ
trombone,teenager,swore,HIGH,psychological,The teenager became very,The trombone became very,The teenager swore and became very,The trombone fell and became very,The trombone swore and became very,3,ADJ
blossom,test pilot,sobbed,HIGH,physical,The test pilot started to,The blossom started to,The test pilot sobbed and started to,The blossom fell and started to,The blossom sobbed and started to,1,VERB
biscuit,art director,spit,HIGH,physical,The art director started to,The biscuit started to,The art director spit and started to,The biscuit fell and started to,The biscuit spit and started to,1,VERB
clock,judge,wandered,HIGH-MID,physical,The judge became very,The clock became very,The judge wandered and became very,The clock fell and became very,The clock wandered and became very,3,ADJ
banner,vice president,panicked,HIGH,psychological,The vice president started to,The banner started to,The vice president panicked and started to,The banner fell and started to,The banner panicked and started to,1,VERB
gown,executive officer,trotted,HIGH-MID,physical,The executive officer started to,The gown started to,The executive officer trotted and started to,The gown fell and started to,The gown trotted and started to,1,VERB
yacht,chief of staff,panicked,HIGH,psychological,The chief of staff became very,The yacht became very,The chief of staff panicked and became very,The yacht fell and became very,The yacht panicked and became very,3,ADJ
column,producer,invested,MID,psychological,The producer was very,The column was very,The producer invested and was very,The column fell and was very,The column invested and was very,2,ADJ
wig,chief engineer,paced,HIGH,physical,The chief engineer started to,The wig started to,The chief engineer paced and started to,The wig fell and started to,The wig paced and started to,1,VERB
boat,pilot,lamented,HIGH,psychological,The pilot was very,The boat was very,The pilot lamented and was very,The boat fell and was very,The boat lamented and was very,2,ADJ
oar,swimmer,grumbled,HIGH,physical,The swimmer began to,The oar began to,The swimmer grumbled and began to,The oar fell and began to,The oar grumbled and began to,0,VERB
tube,judge,objected,HIGH-MID,psychological,The judge began to,The tube began to,The judge objected and began to,The tube fell and began to,The tube objected and began to,0,VERB
boot,reporter,replied,HIGH,psychological,The reporter was very,The boot was very,The reporter replied and was very,The boot fell and was very,The boot replied and was very,2,ADJ
tape,girl,crouched,HIGH,physical,The girl became very,The tape became very,The girl crouched and became very,The tape fell and became very,The tape crouched and became very,3,ADJ
yacht,chief of staff,gestured,HIGH,physical,The chief of staff was very,The yacht was very,The chief of staff gestured and was very,The yacht fell and was very,The yacht gestured and was very,2,ADJ
corpse,clerk,screamed,HIGH-MID,physical,The clerk became very,The corpse became very,The clerk screamed and became very,The corpse fell and became very,The corpse screamed and became very,3,ADJ
arrow,painter,paced,HIGH,physical,The painter became very,The arrow became very,The painter paced and became very,The arrow fell and became very,The arrow paced and became very,3,ADJ
hose,policeman,hurried,HIGH,psychological,The policeman started to,The hose started to,The policeman hurried and started to,The hose fell and started to,The hose hurried and started to,1,VERB
stand,prime minister,laughed,HIGH,physical,The prime minister began to,The stand began to,The prime minister laughed and began to,The stand fell and began to,The stand laughed and began to,0,VERB
chocolate,grandfather,suspected,HIGH,psychological,The grandfather started to,The chocolate started to,The grandfather suspected and started to,The chocolate fell and started to,The chocolate suspected and started to,1,VERB
oven,pastor,gestured,HIGH,physical,The pastor started to,The oven started to,The pastor gestured and started to,The oven fell and started to,The oven gestured and started to,1,VERB
bra,laborer,begged,HIGH,psychological,The laborer became very,The bra became very,The laborer begged and became very,The bra fell and became very,The bra begged and became very,3,ADJ
key,mother,danced,HIGH-MID,physical,The mother started to,The key started to,The mother danced and started to,The key fell and started to,The key danced and started to,1,VERB
engine,wife,giggled,HIGH,physical,The wife was very,The engine was very,The wife giggled and was very,The engine fell and was very,The engine giggled and was very,2,ADJ
van,boy,revelled,HIGH,psychological,The boy was very,The van was very,The boy revelled and was very,The van fell and was very,The van revelled and was very,2,ADJ
zipper,psychotherapist,ate,HIGH,physical,The psychotherapist began to,The zipper began to,The psychotherapist ate and began to,The zipper fell and began to,The zipper ate and began to,0,VERB
propeller,mathematician,confessed,HIGH,psychological,The mathematician became very,The propeller became very,The mathematician confessed and became very,The propeller fell and became very,The propeller confessed and became very,3,ADJ
axe,chemist,insisted,HIGH-MID,psychological,The chemist started to,The axe started to,The chemist insisted and started to,The axe fell and started to,The axe insisted and started to,1,VERB
note,wife,graduated,HIGH-MID,psychological,The wife was very,The note was very,The wife graduated and was very,The note fell and was very,The note graduated and was very,2,ADJ
sword,engineer,enlisted,HIGH-MID,psychological,The engineer began to,The sword began to,The engineer enlisted and began to,The sword fell and began to,The sword enlisted and began to,0,VERB
bucket,grandson,chanted,HIGH,psychological,The grandson started to,The bucket started to,The grandson chanted and started to,The bucket fell and started to,The bucket chanted and started to,1,VERB
dictionary,priest,clapped,HIGH,physical,The priest started to,The dictionary started to,The priest clapped and started to,The dictionary fell and started to,The dictionary clapped and started to,1,VERB
quilt,butcher,watched,HIGH,physical,The butcher was very,The quilt was very,The butcher watched and was very,The quilt fell and was very,The quilt watched and was very,2,ADJ
newspaper,pilot,chuckled,HIGH,physical,The pilot began to,The newspaper began to,The pilot chuckled and began to,The newspaper fell and began to,The newspaper chuckled and began to,0,VERB
radio,person,whispered,HIGH,physical,The person began to,The radio began to,The person whispered and began to,The radio fell and began to,The radio whispered and began to,0,VERB
collage,chief engineer,read,HIGH,psychological,The chief engineer became very,The collage became very,The chief engineer read and became very,The collage fell and became very,The collage read and became very,3,ADJ
stove,police officer,grumbled,HIGH,physical,The police officer began to,The stove began to,The police officer grumbled and began to,The stove fell and began to,The stove grumbled and began to,0,VERB
pearl,painter,blinked,HIGH,physical,The painter became very,The pearl became very,The painter blinked and became very,The pearl fell and became very,The pearl blinked and became very,3,ADJ
wig,chief engineer,ducked,HIGH,physical,The chief engineer began to,The wig began to,The chief engineer ducked and began to,The wig fell and began to,The wig ducked and began to,0,VERB
timepiece,actuary,grimaced,HIGH,physical,The actuary began to,The timepiece began to,The actuary grimaced and began to,The timepiece fell and began to,The timepiece grimaced and began to,0,VERB
mine,engineer,breathed,HIGH,physical,The engineer began to,The mine began to,The engineer breathed and began to,The mine fell and began to,The mine breathed and began to,0,VERB
dish,scientist,bled,MID,physical,The scientist was very,The dish was very,The scientist bled and was very,The dish fell and was very,The dish bled and was very,2,ADJ
magazine,student,prayed,HIGH,psychological,The student began to,The magazine began to,The student prayed and began to,The magazine fell and began to,The magazine prayed and began to,0,VERB
zipper,psychotherapist,swallowed,HIGH,physical,The psychotherapist began to,The zipper began to,The psychotherapist swallowed and began to,The zipper fell and began to,The zipper swallowed and began to,0,VERB
moccasin,acupuncturist,registered,MID,psychological,The acupuncturist began to,The moccasin began to,The acupuncturist registered and began to,The moccasin fell and began to,The moccasin registered and began to,0,VERB
branch,husband,whispered,HIGH,physical,The husband was very,The branch was very,The husband whispered and was very,The branch fell and was very,The branch whispered and was very,2,ADJ
missile,producer,cursed,HIGH,psychological,The producer was very,The missile was very,The producer cursed and was very,The missile fell and was very,The missile cursed and was very,2,ADJ
button,baker,pissed,HIGH,physical,The baker was very,The button was very,The baker pissed and was very,The button fell and was very,The button pissed and was very,2,ADJ
amplifier,baker,jogged,HIGH-MID,physical,The baker became very,The amplifier became very,The baker jogged and became very,The amplifier fell and became very,The amplifier jogged and became very,3,ADJ
umbrella,sheriff,growled,HIGH,physical,The sheriff began to,The umbrella began to,The sheriff growled and began to,The umbrella fell and began to,The umbrella growled and began to,0,VERB
pillow,entrepreneur,waved,HIGH,physical,The entrepreneur was very,The pillow was very,The entrepreneur waved and was very,The pillow fell and was very,The pillow waved and was very,2,ADJ
clothing,operator,shrugged,HIGH,physical,The operator became very,The clothing became very,The operator shrugged and became very,The clothing fell and became very,The clothing shrugged and became very,3,ADJ
stage,mother,recovered,HIGH-MID,physical,The mother became very,The stage became very,The mother recovered and became very,The stage fell and became very,The stage recovered and became very,3,ADJ
prune,assistant director,swam,MID,physical,The assistant director was very,The prune was very,The assistant director swam and was very,The prune fell and was very,The prune swam and was very,2,ADJ
stove,police officer,stumbled,HIGH,physical,The police officer started to,The stove started to,The police officer stumbled and started to,The stove fell and started to,The stove stumbled and started to,1,VERB
tablespoon,bookkeeper,bowed,HIGH-MID,physical,The bookkeeper was very,The tablespoon was very,The bookkeeper bowed and was very,The tablespoon fell and was very,The tablespoon bowed and was very,2,ADJ
fruit,partner,enquired,HIGH,psychological,The partner became very,The fruit became very,The partner enquired and became very,The fruit fell and became very,The fruit enquired and became very,3,ADJ
bullet,journalist,paced,HIGH,physical,The journalist started to,The bullet started to,The journalist paced and started to,The bullet fell and started to,The bullet paced and started to,1,VERB
nickel,nurse,crouched,HIGH,physical,The nurse was very,The nickel was very,The nurse crouched and was very,The nickel fell and was very,The nickel crouched and was very,2,ADJ
steak,city manager,rushed,HIGH-MID,psychological,The city manager began to,The steak began to,The city manager rushed and began to,The steak fell and began to,The steak rushed and began to,0,VERB
collage,chief engineer,breathed,HIGH,physical,The chief engineer became very,The collage became very,The chief engineer breathed and became very,The collage fell and became very,The collage breathed and became very,3,ADJ
casket,curator,stole,HIGH-MID,psychological,The curator became very,The casket became very,The curator stole and became very,The casket fell and became very,The casket stole and became very,3,ADJ
biscuit,art director,grunted,HIGH,physical,The art director started to,The biscuit started to,The art director grunted and started to,The biscuit fell and started to,The biscuit grunted and started to,1,VERB
key,mother,registered,MID,psychological,The mother started to,The key started to,The mother registered and started to,The key fell and started to,The key registered and started to,1,VERB
bench,sailor,retorted,HIGH,psychological,The sailor began to,The bench began to,The sailor retorted and began to,The bench fell and began to,The bench retorted and began to,0,VERB
trombone,teenager,dozed,HIGH,physical,The teenager started to,The trombone started to,The teenager dozed and started to,The trombone fell and started to,The trombone dozed and started to,1,VERB
battery,uncle,saluted,HIGH,psychological,The uncle became very,The battery became very,The uncle saluted and became very,The battery fell and became very,The battery saluted and became very,3,ADJ
cannon,chancellor,whistled,HIGH-MID,physical,The chancellor was very,The cannon was very,The chancellor whistled and was very,The cannon fell and was very,The cannon whistled and was very,2,ADJ
ball,child,paid,HIGH-MID,psychological,The child was very,The ball was very,The child paid and was very,The ball fell and was very,The ball paid and was very,2,ADJ
column,producer,fought,HIGH-MID,psychological,The producer was very,The column was very,The producer fought and was very,The column fell and was very,The column fought and was very,2,ADJ
picture,boy,answered,HIGH,psychological,The boy began to,The picture began to,The boy answered and began to,The picture fell and began to,The picture answered and began to,0,VERB
key,mother,fought,HIGH-MID,psychological,The mother began to,The key began to,The mother fought and began to,The key fell and began to,The key fought and began to,0,VERB
twig,associate justice,sang,HIGH-MID,physical,The associate justice began to,The twig began to,The associate justice sang and began to,The twig fell and began to,The twig sang and began to,0,VERB
cannon,chancellor,crouched,HIGH,physical,The chancellor began to,The cannon began to,The chancellor crouched and began to,The cannon fell and began to,The cannon crouched and began to,0,VERB
map,author,talked,HIGH,psychological,The author became very,The map became very,The author talked and became very,The map fell and became very,The map talked and became very,3,ADJ
coffin,researcher,breathed,HIGH,physical,The researcher began to,The coffin began to,The researcher breathed and began to,The coffin fell and began to,The coffin breathed and began to,0,VERB
steak,city manager,consented,HIGH-MID,psychological,The city manager was very,The steak was very,The city manager consented and was very,The steak fell and was very,The steak consented and was very,2,ADJ
bed,engineer,frowned,HIGH,physical,The engineer was very,The bed was very,The engineer frowned and was very,The bed fell and was very,The bed frowned and was very,2,ADJ
electron,husband,ate,HIGH,physical,The husband became very,The electron became very,The husband ate and became very,The electron fell and became very,The electron ate and became very,3,ADJ
sleigh,dishwasher,glared,HIGH,physical,The dishwasher became very,The sleigh became very,The dishwasher glared and became very,The sleigh fell and became very,The sleigh glared and became very,3,ADJ
submarine,uncle,glared,HIGH,physical,The uncle began to,The submarine began to,The uncle glared and began to,The submarine fell and began to,The submarine glared and began to,0,VERB
banner,vice president,waved,HIGH,physical,The vice president began to,The banner began to,The vice president waved and began to,The banner fell and began to,The banner waved and began to,0,VERB
clock,judge,evacuated,HIGH-MID,psychological,The judge started to,The clock started to,The judge evacuated and started to,The clock fell and started to,The clock evacuated and started to,1,VERB
nightgown,anchorman,slept,HIGH,physical,The anchorman started to,The nightgown started to,The anchorman slept and started to,The nightgown fell and started to,The nightgown slept and started to,1,VERB
flask,accountant,spit,HIGH,physical,The accountant was very,The flask was very,The accountant spit and was very,The flask fell and was very,The flask spit and was very,2,ADJ
zipper,psychotherapist,whispered,HIGH,physical,The psychotherapist became very,The zipper became very,The psychotherapist whispered and became very,The zipper fell and became very,The zipper whispered and became very,3,ADJ
stage,mother,saluted,HIGH,psychological,The mother became very,The stage became very,The mother saluted and became very,The stage fell and became very,The stage saluted and became very,3,ADJ
amplifier,baker,swallowed,HIGH,physical,The baker became very,The amplifier became very,The baker swallowed and became very,The amplifier fell and became very,The amplifier swallowed and became very,3,ADJ
figure,student,panted,HIGH,physical,The student was very,The figure was very,The student panted and was very,The figure fell and was very,The figure panted and was very,2,ADJ
violin,grandfather,drank,HIGH,physical,The grandfather was very,The violin was very,The grandfather drank and was very,The violin fell and was very,The violin drank and was very,2,ADJ
coat,founder,shouted,HIGH,physical,The founder began to,The coat began to,The founder shouted and began to,The coat fell and began to,The coat shouted and began to,0,VERB
bucket,grandson,crawled,HIGH-MID,physical,The grandson was very,The bucket was very,The grandson crawled and was very,The bucket fell and was very,The bucket crawled and was very,2,ADJ
pearl,painter,painted,HIGH-MID,physical,The painter became very,The pearl became very,The painter painted and became very,The pearl fell and became very,The pearl painted and became very,3,ADJ
hairpin,artistic director,replied,HIGH,psychological,The artistic director began to,The hairpin began to,The artistic director replied and began to,The hairpin fell and began to,The hairpin replied and began to,0,VERB
chair,architect,gazed,HIGH,physical,The architect began to,The chair began to,The architect gazed and began to,The chair fell and began to,The chair gazed and began to,0,VERB
lamp,dean,evacuated,HIGH-MID,psychological,The dean started to,The lamp started to,The dean evacuated and started to,The lamp fell and started to,The lamp evacuated and started to,1,VERB
seed,engineer,wailed,HIGH,physical,The engineer became very,The seed became very,The engineer wailed and became very,The seed fell and became very,The seed wailed and became very,3,ADJ
spoon,estimator,sneered,HIGH,psychological,The estimator was very,The spoon was very,The estimator sneered and was very,The spoon fell and was very,The spoon sneered and was very,2,ADJ
ion,assistant,grunted,HIGH,physical,The assistant started to,The ion started to,The assistant grunted and started to,The ion fell and started to,The ion grunted and started to,1,VERB
axe,chemist,clapped,HIGH,physical,The chemist became very,The axe became very,The chemist clapped and became very,The axe fell and became very,The axe clapped and became very,3,ADJ
thermometer,police officer,growled,HIGH,physical,The police officer was very,The thermometer was very,The police officer growled and was very,The thermometer fell and was very,The thermometer growled and was very,2,ADJ
typewriter,grandson,shrugged,HIGH,physical,The grandson began to,The typewriter began to,The grandson shrugged and began to,The typewriter fell and began to,The typewriter shrugged and began to,0,VERB
steak,city manager,staggered,HIGH-MID,physical,The city manager started to,The steak started to,The city manager staggered and started to,The steak fell and started to,The steak staggered and started to,1,VERB
bandage,bookkeeper,talked,HIGH,psychological,The bookkeeper began to,The bandage began to,The bookkeeper talked and began to,The bandage fell and began to,The bandage talked and began to,0,VERB
oven,pastor,staggered,HIGH-MID,physical,The pastor started to,The oven started to,The pastor staggered and started to,The oven fell and started to,The oven staggered and started to,1,VERB
car,minister,bellowed,HIGH,physical,The minister began to,The car began to,The minister bellowed and began to,The car fell and began to,The car bellowed and began to,0,VERB
yacht,chief of staff,cheated,HIGH,psychological,The chief of staff began to,The yacht began to,The chief of staff cheated and began to,The yacht fell and began to,The yacht cheated and began to,0,VERB
tape,girl,knelt,HIGH,physical,The girl was very,The tape was very,The girl knelt and was very,The tape fell and was very,The tape knelt and was very,2,ADJ
car,minister,shrugged,HIGH,physical,The minister started to,The car started to,The minister shrugged and started to,The car fell and started to,The car shrugged and started to,1,VERB
timepiece,actuary,walked,HIGH,physical,The actuary became very,The timepiece became very,The actuary walked and became very,The timepiece fell and became very,The timepiece walked and became very,3,ADJ
desk,mathematician,guessed,HIGH,psychological,The mathematician was very,The desk was very,The mathematician guessed and was very,The desk fell and was very,The desk guessed and was very,2,ADJ
branch,husband,shaved,HIGH,physical,The husband started to,The branch started to,The husband shaved and started to,The branch fell and started to,The branch shaved and started to,1,VERB
nail,inspector,waited,HIGH,psychological,The inspector became very,The nail became very,The inspector waited and became very,The nail fell and became very,The nail waited and became very,3,ADJ
uniform,agent,sang,HIGH-MID,physical,The agent started to,The uniform started to,The agent sang and started to,The uniform fell and started to,The uniform sang and started to,1,VERB
pearl,painter,shrieked,HIGH-MID,physical,The painter was very,The pearl was very,The painter shrieked and was very,The pearl fell and was very,The pearl shrieked and was very,2,ADJ
door,producer,talked,HIGH,psychological,The producer started to,The door started to,The producer talked and started to,The door fell and started to,The door talked and started to,1,VERB
oven,pastor,shaved,HIGH,physical,The pastor started to,The oven started to,The pastor shaved and started to,The oven fell and started to,The oven shaved and started to,1,VERB
steak,city manager,shivered,HIGH,physical,The city manager was very,The steak was very,The city manager shivered and was very,The steak fell and was very,The steak shivered and was very,2,ADJ
painting,boy,fumbled,HIGH,physical,The boy was very,The painting was very,The boy fumbled and was very,The painting fell and was very,The painting fumbled and was very,2,ADJ
buckle,executive director,worried,HIGH-MID,psychological,The executive director started to,The buckle started to,The executive director worried and started to,The buckle fell and started to,The buckle worried and started to,1,VERB
spoon,estimator,snarled,HIGH,psychological,The estimator started to,The spoon started to,The estimator snarled and started to,The spoon fell and started to,The spoon snarled and started to,1,VERB
stone,minister,begged,HIGH,psychological,The minister was very,The stone was very,The minister begged and was very,The stone fell and was very,The stone begged and was very,2,ADJ
rock,wife,hissed,HIGH-MID,physical,The wife was very,The rock was very,The wife hissed and was very,The rock fell and was very,The rock hissed and was very,2,ADJ
broom,naturalist,revelled,HIGH,psychological,The naturalist started to,The broom started to,The naturalist revelled and started to,The broom fell and started to,The broom revelled and started to,1,VERB
timepiece,actuary,grunted,HIGH,physical,The actuary began to,The timepiece began to,The actuary grunted and began to,The timepiece fell and began to,The timepiece grunted and began to,0,VERB
oar,swimmer,yelled,HIGH,physical,The swimmer started to,The oar started to,The swimmer yelled and started to,The oar fell and started to,The oar yelled and started to,1,VERB
purse,auditor,interrupted,HIGH-MID,psychological,The auditor was very,The purse was very,The auditor interrupted and was very,The purse fell and was very,The purse interrupted and was very,2,ADJ
well,president,graduated,HIGH-MID,psychological,The president started to,The well started to,The president graduated and started to,The well fell and started to,The well graduated and started to,1,VERB
cart,technician,lamented,HIGH,psychological,The technician became very,The cart became very,The technician lamented and became very,The cart fell and became very,The cart lamented and became very,3,ADJ
hammer,baker,frowned,HIGH,physical,The baker began to,The hammer began to,The baker frowned and began to,The hammer fell and began to,The hammer frowned and began to,0,VERB
blouse,assistant director,muttered,HIGH,physical,The assistant director started to,The blouse started to,The assistant director muttered and started to,The blouse fell and started to,The blouse muttered and started to,1,VERB
keg,arbitrator,howled,MID,physical,The arbitrator began to,The keg began to,The arbitrator howled and began to,The keg fell and began to,The keg howled and began to,0,VERB
ticket,associate,stared,HIGH,physical,The associate became very,The ticket became very,The associate stared and became very,The ticket fell and became very,The ticket stared and became very,3,ADJ
bra,laborer,misunderstood,HIGH,psychological,The laborer was very,The bra was very,The laborer misunderstood and was very,The bra fell and was very,The bra misunderstood and was very,2,ADJ
buckle,executive director,stole,HIGH-MID,psychological,The executive director was very,The buckle was very,The executive director stole and was very,The buckle fell and was very,The buckle stole and was very,2,ADJ
arrow,painter,hissed,HIGH-MID,physical,The painter became very,The arrow became very,The painter hissed and became very,The arrow fell and became very,The arrow hissed and became very,3,ADJ
tray,executive officer,retorted,HIGH,psychological,The executive officer became very,The tray became very,The executive officer retorted and became very,The tray fell and became very,The tray retorted and became very,3,ADJ
button,baker,stumbled,HIGH,physical,The baker began to,The button began to,The baker stumbled and began to,The button fell and began to,The button stumbled and began to,0,VERB
stairs,sheriff,pursued,HIGH-MID,psychological,The sheriff started to,The stairs started to,The sheriff pursued and started to,The stairs fell and started to,The stairs pursued and started to,1,VERB
microscope,scout,whistled,HIGH-MID,physical,The scout started to,The microscope started to,The scout whistled and started to,The microscope fell and started to,The microscope whistled and started to,1,VERB
missile,producer,struggled,HIGH-MID,psychological,The producer began to,The missile began to,The producer struggled and began to,The missile fell and began to,The missile struggled and began to,0,VERB
flute,consultant,retorted,HIGH,psychological,The consultant became very,The flute became very,The consultant retorted and became very,The flute fell and became very,The flute retorted and became very,3,ADJ
lens,chairman,gazed,HIGH,physical,The chairman became very,The lens became very,The chairman gazed and became very,The lens fell and became very,The lens gazed and became very,3,ADJ
piano,secretary,shaved,HIGH,physical,The secretary was very,The piano was very,The secretary shaved and was very,The piano fell and was very,The piano shaved and was very,2,ADJ
napkin,infantryman,stumbled,HIGH,physical,The infantryman was very,The napkin was very,The infantryman stumbled and was very,The napkin fell and was very,The napkin stumbled and was very,2,ADJ
rug,art director,enquired,HIGH,psychological,The art director was very,The rug was very,The art director enquired and was very,The rug fell and was very,The rug enquired and was very,2,ADJ
accordion,biologist,ducked,HIGH,physical,The biologist started to,The accordion started to,The biologist ducked and started to,The accordion fell and started to,The accordion ducked and started to,1,VERB
coin,chairman,stumbled,HIGH,physical,The chairman was very,The coin was very,The chairman stumbled and was very,The coin fell and was very,The coin stumbled and was very,2,ADJ
missile,producer,moaned,HIGH,psychological,The producer was very,The missile was very,The producer moaned and was very,The missile fell and was very,The missile moaned and was very,2,ADJ
purse,auditor,flushed,HIGH-MID,physical,The auditor began to,The purse began to,The auditor flushed and began to,The purse fell and began to,The purse flushed and began to,0,VERB
balloon,collector,drank,HIGH,physical,The collector was very,The balloon was very,The collector drank and was very,The balloon fell and was very,The balloon drank and was very,2,ADJ
hairpin,artistic director,coughed,HIGH,physical,The artistic director became very,The hairpin became very,The artistic director coughed and became very,The hairpin fell and became very,The hairpin coughed and became very,3,ADJ
scroll,niece,squinted,HIGH,physical,The niece started to,The scroll started to,The niece squinted and started to,The scroll fell and started to,The scroll squinted and started to,1,VERB
seed,engineer,emigrated,HIGH,psychological,The engineer was very,The seed was very,The engineer emigrated and was very,The seed fell and was very,The seed emigrated and was very,2,ADJ
nickel,nurse,sang,HIGH-MID,physical,The nurse became very,The nickel became very,The nurse sang and became very,The nickel fell and became very,The nickel sang and became very,3,ADJ
blanket,brigadier,stared,HIGH,physical,The brigadier was very,The blanket was very,The brigadier stared and was very,The blanket fell and was very,The blanket stared and was very,2,ADJ
casket,curator,suspected,HIGH,psychological,The curator began to,The casket began to,The curator suspected and began to,The casket fell and began to,The casket suspected and began to,0,VERB
whistle,sailor,waited,HIGH,psychological,The sailor started to,The whistle started to,The sailor waited and started to,The whistle fell and started to,The whistle waited and started to,1,VERB
tub,bartender,talked,HIGH,psychological,The bartender was very,The tub was very,The bartender talked and was very,The tub fell and was very,The tub talked and was very,2,ADJ
sock,animator,stammered,HIGH,physical,The animator became very,The sock became very,The animator stammered and became very,The sock fell and became very,The sock stammered and became very,3,ADJ
bucket,grandson,fled,HIGH-MID,physical,The grandson was very,The bucket was very,The grandson fled and was very,The bucket fell and was very,The bucket fled and was very,2,ADJ
violin,grandfather,drowned,HIGH-MID,physical,The grandfather was very,The violin was very,The grandfather drowned and was very,The violin fell and was very,The violin drowned and was very,2,ADJ
van,boy,whispered,HIGH,physical,The boy started to,The van started to,The boy whispered and started to,The van fell and started to,The van whispered and started to,1,VERB
pool,chairman,mumbled,HIGH,physical,The chairman became very,The pool became very,The chairman mumbled and became very,The pool fell and became very,The pool mumbled and became very,3,ADJ
boat,pilot,blushed,HIGH,physical,The pilot began to,The boat began to,The pilot blushed and began to,The boat fell and began to,The boat blushed and began to,0,VERB
van,boy,dreamed,HIGH,psychological,The boy started to,The van started to,The boy dreamed and started to,The van fell and started to,The van dreamed and started to,1,VERB
plate,secretary,hissed,HIGH-MID,physical,The secretary became very,The plate became very,The secretary hissed and became very,The plate fell and became very,The plate hissed and became very,3,ADJ
stove,police officer,laughed,HIGH,physical,The police officer started to,The stove started to,The police officer laughed and started to,The stove fell and started to,The stove laughed and started to,1,VERB
knife,nephew,recovered,HIGH-MID,physical,The nephew became very,The knife became very,The nephew recovered and became very,The knife fell and became very,The knife recovered and became very,3,ADJ
cart,technician,argued,HIGH-MID,psychological,The technician started to,The cart started to,The technician argued and started to,The cart fell and started to,The cart argued and started to,1,VERB
statue,chairman,enlisted,HIGH-MID,psychological,The chairman became very,The statue became very,The chairman enlisted and became very,The statue fell and became very,The statue enlisted and became very,3,ADJ
bagpipe,infantryman,consented,HIGH-MID,psychological,The infantryman became very,The bagpipe became very,The infantryman consented and became very,The bagpipe fell and became very,The bagpipe consented and became very,3,ADJ
cup,manager,spoke,HIGH,psychological,The manager became very,The cup became very,The manager spoke and became very,The cup fell and became very,The cup spoke and became very,3,ADJ
piano,secretary,graduated,HIGH-MID,psychological,The secretary began to,The piano began to,The secretary graduated and began to,The piano fell and began to,The piano graduated and began to,0,VERB
medallion,gardener,hastened,HIGH-MID,psychological,The gardener became very,The medallion became very,The gardener hastened and became very,The medallion fell and became very,The medallion hastened and became very,3,ADJ
automobile,nephew,wondered,HIGH,psychological,The nephew became very,The automobile became very,The nephew wondered and became very,The automobile fell and became very,The automobile wondered and became very,3,ADJ
gun,writer,forgot,HIGH,psychological,The writer began to,The gun began to,The writer forgot and began to,The gun fell and began to,The gun forgot and began to,0,VERB
oar,swimmer,fainted,HIGH,physical,The swimmer started to,The oar started to,The swimmer fainted and started to,The oar fell and started to,The oar fainted and started to,1,VERB
sandal,archeologist,dreamed,HIGH,psychological,The archeologist was very,The sandal was very,The archeologist dreamed and was very,The sandal fell and was very,The sandal dreamed and was very,2,ADJ
envelope,dean,retired,HIGH,psychological,The dean began to,The envelope began to,The dean retired and began to,The envelope fell and began to,The envelope retired and began to,0,VERB
sketch,cousin,jumped,HIGH-MID,physical,The cousin was very,The sketch was very,The cousin jumped and was very,The sketch fell and was very,The sketch jumped and was very,2,ADJ
candle,consultant,sang,HIGH-MID,physical,The consultant became very,The candle became very,The consultant sang and became very,The candle fell and became very,The candle sang and became very,3,ADJ
pipe,chancellor,volunteered,HIGH,psychological,The chancellor started to,The pipe started to,The chancellor volunteered and started to,The pipe fell and started to,The pipe volunteered and started to,1,VERB
plank,butcher,hesitated,HIGH,psychological,The butcher started to,The plank started to,The butcher hesitated and started to,The plank fell and started to,The plank hesitated and started to,1,VERB
whistle,sailor,screamed,HIGH-MID,physical,The sailor started to,The whistle started to,The sailor screamed and started to,The whistle fell and started to,The whistle screamed and started to,1,VERB
prune,assistant director,wailed,HIGH,physical,The assistant director began to,The prune began to,The assistant director wailed and began to,The prune fell and began to,The prune wailed and began to,0,VERB
broom,naturalist,visited,HIGH,psychological,The naturalist began to,The broom began to,The naturalist visited and began to,The broom fell and began to,The broom visited and began to,0,VERB
tray,executive officer,pursued,HIGH-MID,psychological,The executive officer began to,The tray began to,The executive officer pursued and began to,The tray fell and began to,The tray pursued and began to,0,VERB
bucket,grandson,mumbled,HIGH,physical,The grandson was very,The bucket was very,The grandson mumbled and was very,The bucket fell and was very,The bucket mumbled and was very,2,ADJ
napkin,infantryman,hastened,HIGH-MID,psychological,The infantryman was very,The napkin was very,The infantryman hastened and was very,The napkin fell and was very,The napkin hastened and was very,2,ADJ
rug,art director,whistled,HIGH-MID,physical,The art director became very,The rug became very,The art director whistled and became very,The rug fell and became very,The rug whistled and became very,3,ADJ
